"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of previous modifications","Number of committers","Number of developer commits","Number of bugs"
"L36512","OSchedulerTrigger.java","core/src/main/java/com/orientechnologies/orient/core/schedule/OSchedulerTrigger.java","L36507","11","0","74","1","26","9","1345","0"
"L36653","OSecurityManager.java","core/src/main/java/com/orientechnologies/orient/core/security/OSecurityManager.java","L36652","14","0","117","0","10","1","3122","0"
"L36752","OBase64Utils.java","core/src/main/java/com/orientechnologies/orient/core/serialization/OBase64Utils.java","L36751","130","0","916","1","27","7","1345","0"
"L36753","OBinaryProtocol.java","core/src/main/java/com/orientechnologies/orient/core/serialization/OBinaryProtocol.java","L36751","15","0","191","1","16","2","561","0"
"L36754","ODocumentSerializable.java","core/src/main/java/com/orientechnologies/orient/core/serialization/ODocumentSerializable.java","L36751","1","0","7","0","12","5","327","0"
"L36755","OMemoryInputStream.java","core/src/main/java/com/orientechnologies/orient/core/serialization/OMemoryInputStream.java","L36751","15","0","155","1","16","3","3122","0"
"L36756","OMemoryStream.java","core/src/main/java/com/orientechnologies/orient/core/serialization/OMemoryStream.java","L36751","30","0","306","1","16","3","3122","0"
"L36757","OSerializableStream.java","core/src/main/java/com/orientechnologies/orient/core/serialization/OSerializableStream.java","L36751","1","0","7","0","6","0","0","0"
"L39950","OChainedIndexProxy.java","core/src/main/java/com/orientechnologies/orient/core/sql/OChainedIndexProxy.java","L39949","44","0","424","14","70","9","3122","0"
"L39951","OCommandExecutorSQLAbstract.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLAbstract.java","L39949","28","0","163","2","109","14","82","0"
"L39952","OCommandExecutorSQLAlterClass.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLAlterClass.java","L39949","24","0","107","6","65","9","1345","0"
"L39953","OCommandExecutorSQLAlterCluster.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLAlterCluster.java","L39949","18","0","108","1","36","6","1345","0"
"L39954","OCommandExecutorSQLAlterDatabase.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLAlterDatabase.java","L39949","10","0","69","2","36","6","1345","0"
"L39955","OCommandExecutorSQLAlterProperty.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLAlterProperty.java","L39949","15","0","86","2","33","6","1345","0"
"L39956","OCommandExecutorSQLCreateClass.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLCreateClass.java","L39949","26","0","127","3","59","7","1345","0"
"L39957","OCommandExecutorSQLCreateCluster.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLCreateCluster.java","L39949","9","0","61","1","40","9","1345","0"
"L39958","OCommandExecutorSQLCreateFunction.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLCreateFunction.java","L39949","13","0","73","0","24","7","1345","0"
"L39959","OCommandExecutorSQLCreateIndex.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLCreateIndex.java","L39949","48","0","234","3","86","10","1345","0"
"L39960","OCommandExecutorSQLCreateLink.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLCreateLink.java","L39949","60","0","226","0","48","6","3122","0"
"L39961","OCommandExecutorSQLCreateProperty.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLCreateProperty.java","L39949","18","0","100","2","39","5","1345","0"
"L39962","OCommandExecutorSQLDelegate.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLDelegate.java","L39949","8","0","83","1","43","6","1345","0"
"L39963","OCommandExecutorSQLDelete.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLDelete.java","L39949","52","0","251","6","101","10","1345","0"
"L39964","OCommandExecutorSQLDropClass.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLDropClass.java","L39949","19","0","94","4","62","10","1345","0"
"L39965","OCommandExecutorSQLDropCluster.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLDropCluster.java","L39949","14","0","70","1","19","5","1345","0"
"L39966","OCommandExecutorSQLDropIndex.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLDropIndex.java","L39949","9","0","58","1","29","4","1345","0"
"L39967","OCommandExecutorSQLDropProperty.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLDropProperty.java","L39949","19","0","110","2","35","6","1345","0"
"L39968","OCommandExecutorSQLEarlyResultsetAbstract.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLEarlyResultsetAbstract.java","L39949","3","0","21","0","4","3","2","0"
"L39969","OCommandExecutorSQLExplain.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLExplain.java","L39949","4","0","42","0","12","3","1345","0"
"L39970","OCommandExecutorSQLFactory.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLFactory.java","L39949","1","0","7","0","3","0","0","0"
"L39971","OCommandExecutorSQLFindReferences.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLFindReferences.java","L39949","11","0","67","1","23","4","3122","0"
"L39972","OCommandExecutorSQLGrant.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLGrant.java","L39949","12","0","54","0","18","4","3122","0"
"L39973","OCommandExecutorSQLHide.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLHide.java","L39949","2","0","36","0","18","4","1345","0"
"L39974","OCommandExecutorSQLInsert.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLInsert.java","L39949","65","0","309","3","116","11","3122","0"
"L39975","OCommandExecutorSQLLiveSelect.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLLiveSelect.java","L39949","28","0","160","1","9","4","3122","0"
"L39976","OCommandExecutorSQLLiveUnsubscribe.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLLiveUnsubscribe.java","L39949","5","0","67","1","7","4","1345","0"
"L39977","OCommandExecutorSQLPermissionAbstract.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLPermissionAbstract.java","L39949","7","0","30","0","6","2","1345","0"
"L39978","OCommandExecutorSQLRebuildIndex.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLRebuildIndex.java","L39949","12","0","61","1","23","5","3122","0"
"L39979","OCommandExecutorSQLResultsetAbstract.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLResultsetAbstract.java","L39949","105","0","436","7","159","14","1345","0"
"L39980","OCommandExecutorSQLResultsetDelegate.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLResultsetDelegate.java","L39949","1","0","21","0","8","4","3122","0"
"L39981","OCommandExecutorSQLRetryAbstract.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLRetryAbstract.java","L39949","2","0","14","0","3","1","3122","0"
"L39982","OCommandExecutorSQLRevoke.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLRevoke.java","L39949","12","0","56","0","21","4","3122","0"
"L39983","OCommandExecutorSQLSelect.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLSelect.java","L39949","510","0","1861","39","559","22","327","0"
"L39984","OCommandExecutorSQLSetAware.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLSetAware.java","L39949","39","0","141","0","22","6","1345","0"
"L39985","OCommandExecutorSQLTransactional.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLTransactional.java","L39949","6","0","32","0","5","2","3122","0"
"L39986","OCommandExecutorSQLTraverse.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLTraverse.java","L39949","32","0","180","3","62","10","3122","0"
"L39987","OCommandExecutorSQLTruncateClass.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLTruncateClass.java","L39949","24","0","106","1","25","5","1345","0"
"L39988","OCommandExecutorSQLTruncateCluster.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLTruncateCluster.java","L39949","9","0","61","2","26","4","1345","0"
"L39989","OCommandExecutorSQLTruncateRecord.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLTruncateRecord.java","L39949","11","0","70","1","31","5","1345","0"
"L39990","OCommandExecutorSQLUpdate.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLUpdate.java","L39949","173","0","587","12","198","13","1345","0"
"L39991","OCommandParameters.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandParameters.java","L39949","3","0","38","0","6","3","3122","0"
"L39992","OCommandSQL.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandSQL.java","L39949","1","0","17","0","14","3","3122","0"
"L39993","OCommandSQLParsingException.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandSQLParsingException.java","L39949","3","0","39","0","7","1","327","0"
"L39994","OCommandSQLResultset.java","core/src/main/java/com/orientechnologies/orient/core/sql/OCommandSQLResultset.java","L39949","1","0","9","0","2","0","0","0"
"L39995","ODefaultCommandExecutorSQLFactory.java","core/src/main/java/com/orientechnologies/orient/core/sql/ODefaultCommandExecutorSQLFactory.java","L39949","3","0","75","0","30","6","3122","0"
"L39996","ODynamicSQLElementFactory.java","core/src/main/java/com/orientechnologies/orient/core/sql/ODynamicSQLElementFactory.java","L39949","6","0","57","0","9","4","1","0"
"L39997","OFilterAnalyzer.java","core/src/main/java/com/orientechnologies/orient/core/sql/OFilterAnalyzer.java","L39949","38","0","167","1","16","6","3122","0"
"L39998","OFindReferenceHelper.java","core/src/main/java/com/orientechnologies/orient/core/sql/OFindReferenceHelper.java","L39949","25","0","122","0","18","6","3122","0"
"L39999","OIndexSearchResult.java","core/src/main/java/com/orientechnologies/orient/core/sql/OIndexSearchResult.java","L39949","26","0","105","2","23","6","3122","0"
"L40000","OIterableRecordSource.java","core/src/main/java/com/orientechnologies/orient/core/sql/OIterableRecordSource.java","L39949","1","0","7","0","9","5","3122","0"
"L40001","OLiveCommandExecutorSQLFactory.java","core/src/main/java/com/orientechnologies/orient/core/sql/OLiveCommandExecutorSQLFactory.java","L39949","5","0","36","0","4","4","3122","0"
"L40002","OMetricRecorder.java","core/src/main/java/com/orientechnologies/orient/core/sql/OMetricRecorder.java","L39949","7","0","42","2","15","5","3122","0"
"L40003","OOrderByOptimizer.java","core/src/main/java/com/orientechnologies/orient/core/sql/OOrderByOptimizer.java","L39949","6","0","27","1","12","4","3122","0"
"L40004","OOriginalRecordsReturnHandler.java","core/src/main/java/com/orientechnologies/orient/core/sql/OOriginalRecordsReturnHandler.java","L39949","1","0","19","1","10","4","3122","0"
"L40005","ORecordCountHandler.java","core/src/main/java/com/orientechnologies/orient/core/sql/ORecordCountHandler.java","L39949","1","0","20","1","10","4","3122","0"
"L40006","ORecordsReturnHandler.java","core/src/main/java/com/orientechnologies/orient/core/sql/ORecordsReturnHandler.java","L39949","3","0","41","2","14","5","3122","0"
"L40007","OReturnHandler.java","core/src/main/java/com/orientechnologies/orient/core/sql/OReturnHandler.java","L39949","1","0","8","1","10","4","3122","0"
"L40008","ORuntimeResult.java","core/src/main/java/com/orientechnologies/orient/core/sql/ORuntimeResult.java","L39949","52","0","175","0","41","8","3122","0"
"L40009","OSQLEngine.java","core/src/main/java/com/orientechnologies/orient/core/sql/OSQLEngine.java","L39949","69","0","370","2","83","10","3122","0"
"L40010","OSQLHelper.java","core/src/main/java/com/orientechnologies/orient/core/sql/OSQLHelper.java","L39949","82","0","252","5","144","14","1345","0"
"L40011","OSQLScriptEngine.java","core/src/main/java/com/orientechnologies/orient/core/sql/OSQLScriptEngine.java","L39949","3","0","77","0","11","7","1345","0"
"L40012","OSQLScriptEngineFactory.java","core/src/main/java/com/orientechnologies/orient/core/sql/OSQLScriptEngineFactory.java","L39949","2","0","65","0","1","0","0","0"
"L40013","OUpdatedRecordsReturnHandler.java","core/src/main/java/com/orientechnologies/orient/core/sql/OUpdatedRecordsReturnHandler.java","L39949","1","0","19","1","10","4","3122","0"
"L40014","SQLUpdateReturnModeEnum.java","core/src/main/java/com/orientechnologies/orient/core/sql/SQLUpdateReturnModeEnum.java","L39949","1","0","6","0","4","2","3122","0"
"L53505","OAutoshardedStorage.java","core/src/main/java/com/orientechnologies/orient/core/storage/OAutoshardedStorage.java","L53504","1","0","5","0","9","3","3122","0"
"L53506","OCluster.java","core/src/main/java/com/orientechnologies/orient/core/storage/OCluster.java","L53504","1","0","54","1","75","8","1345","0"
"L53507","OClusterEntryIterator.java","core/src/main/java/com/orientechnologies/orient/core/storage/OClusterEntryIterator.java","L53504","8","0","53","0","15","7","3122","0"
"L53508","OIdentifiableStorage.java","core/src/main/java/com/orientechnologies/orient/core/storage/OIdentifiableStorage.java","L53504","1","0","4","0","5","3","3122","0"
"L53509","OPhysicalPosition.java","core/src/main/java/com/orientechnologies/orient/core/storage/OPhysicalPosition.java","L53504","8","0","102","0","33","5","3122","0"
"L53510","ORawBuffer.java","core/src/main/java/com/orientechnologies/orient/core/storage/ORawBuffer.java","L53504","1","0","36","0","14","3","561","0"
"L53511","ORecordCallback.java","core/src/main/java/com/orientechnologies/orient/core/storage/ORecordCallback.java","L53504","1","0","8","0","3","0","0","0"
"L53512","ORecordDuplicatedException.java","core/src/main/java/com/orientechnologies/orient/core/storage/ORecordDuplicatedException.java","L53504","3","0","27","2","24","7","3122","0"
"L53513","ORecordMetadata.java","core/src/main/java/com/orientechnologies/orient/core/storage/ORecordMetadata.java","L53504","1","0","17","0","1","1","1345","0"
"L53514","OStorage.java","core/src/main/java/com/orientechnologies/orient/core/storage/OStorage.java","L53504","1","0","105","3","164","13","1345","0"
"L53515","OStorageAbstract.java","core/src/main/java/com/orientechnologies/orient/core/storage/OStorageAbstract.java","L53504","22","0","168","2","126","7","3122","0"
"L53516","OStorageOperationResult.java","core/src/main/java/com/orientechnologies/orient/core/storage/OStorageOperationResult.java","L53504","3","0","54","1","10","5","3122","0"
"L53517","OStorageProxy.java","core/src/main/java/com/orientechnologies/orient/core/storage/OStorageProxy.java","L53504","1","0","4","0","5","2","3122","0"
"L59144","ORollbackException.java","core/src/main/java/com/orientechnologies/orient/core/tx/ORollbackException.java","L59143","1","0","15","1","9","4","3122","0"
"L59145","OTransaction.java","core/src/main/java/com/orientechnologies/orient/core/tx/OTransaction.java","L59143","1","0","74","8","89","9","1345","0"
"L59146","OTransactionAbstract.java","core/src/main/java/com/orientechnologies/orient/core/tx/OTransactionAbstract.java","L59143","34","0","156","4","76","8","1345","0"
"L59147","OTransactionIndexChanges.java","core/src/main/java/com/orientechnologies/orient/core/tx/OTransactionIndexChanges.java","L59143","3","0","47","2","21","3","3122","0"
"L59148","OTransactionIndexChangesPerKey.java","core/src/main/java/com/orientechnologies/orient/core/tx/OTransactionIndexChangesPerKey.java","L59143","4","0","39","0","5","1","3122","0"
"L59149","OTransactionInternal.java","core/src/main/java/com/orientechnologies/orient/core/tx/OTransactionInternal.java","L59143","1","0","6","0","3","2","327","0"
"L59150","OTransactionNoTx.java","core/src/main/java/com/orientechnologies/orient/core/tx/OTransactionNoTx.java","L59143","20","0","194","8","96","7","1345","0"
"L59151","OTransactionOptimistic.java","core/src/main/java/com/orientechnologies/orient/core/tx/OTransactionOptimistic.java","L59143","115","0","483","8","256","13","1345","0"
"L59152","OTransactionRealAbstract.java","core/src/main/java/com/orientechnologies/orient/core/tx/OTransactionRealAbstract.java","L59143","71","0","312","5","102","7","3122","0"
"L59153","OTxListener.java","core/src/main/java/com/orientechnologies/orient/core/tx/OTxListener.java","L59143","1","0","8","0","5","0","0","0"
"L59755","OBuffer.java","core/src/main/java/com/orientechnologies/orient/core/type/OBuffer.java","L59754","9","0","50","1","5","4","561","0"
"L59756","ODocumentWrapper.java","core/src/main/java/com/orientechnologies/orient/core/type/ODocumentWrapper.java","L59754","9","0","95","0","16","2","6","0"
"L59757","ODocumentWrapperNoClass.java","core/src/main/java/com/orientechnologies/orient/core/type/ODocumentWrapperNoClass.java","L59754","1","0","53","0","9","0","0","0"
"L61271","OBackupable.java","core/src/main/java/com/orientechnologies/orient/core/util/OBackupable.java","L61270","1","0","15","0","13","3","3122","0"
"L61272","ODateHelper.java","core/src/main/java/com/orientechnologies/orient/core/util/ODateHelper.java","L61270","11","0","53","0","12","5","3122","0"
"L61273","OHostInfo.java","core/src/main/java/com/orientechnologies/orient/core/util/OHostInfo.java","L61270","5","0","21","0","6","3","3122","0"
"L61322","ORecordVersion.java","core/src/main/java/com/orientechnologies/orient/core/version/ORecordVersion.java","L61321","1","0","48","0","19","5","3122","0"
"L61323","OSimpleVersion.java","core/src/main/java/com/orientechnologies/orient/core/version/OSimpleVersion.java","L61321","10","0","226","0","13","4","3122","0"
"L61324","OVersionFactory.java","core/src/main/java/com/orientechnologies/orient/core/version/OVersionFactory.java","L61321","2","0","27","0","11","4","3122","0"
"L87433","OAbstractLock.java","core/src/main/java/com/orientechnologies/common/concur/lock/OAbstractLock.java","L87432","1","0","13","0","8","5","17","0"
"L87434","OAdaptiveLock.java","core/src/main/java/com/orientechnologies/common/concur/lock/OAdaptiveLock.java","L87432","22","0","132","0","10","5","17","0"
"L87435","ODistributedCounter.java","core/src/main/java/com/orientechnologies/common/concur/lock/ODistributedCounter.java","L87432","17","0","89","0","6","4","1345","0"
"L87436","OExclusiveLock.java","core/src/main/java/com/orientechnologies/common/concur/lock/OExclusiveLock.java","L87432","3","0","25","0","8","5","17","0"
"L87437","OInterruptedException.java","core/src/main/java/com/orientechnologies/common/concur/lock/OInterruptedException.java","L87432","1","0","7","0","14","6","327","0"
"L87438","OLock.java","core/src/main/java/com/orientechnologies/common/concur/lock/OLock.java","L87432","1","0","8","0","8","5","17","0"
"L87439","OLockException.java","core/src/main/java/com/orientechnologies/common/concur/lock/OLockException.java","L87432","1","0","11","0","8","5","17","0"
"L87440","OLockManager.java","core/src/main/java/com/orientechnologies/common/concur/lock/OLockManager.java","L87432","19","0","132","1","16","6","3122","0"
"L87441","OModificationLock.java","core/src/main/java/com/orientechnologies/common/concur/lock/OModificationLock.java","L87432","8","0","55","0","18","6","327","0"
"L87442","OModificationOperationProhibitedException.java","core/src/main/java/com/orientechnologies/common/concur/lock/OModificationOperationProhibitedException.java","L87432","1","0","16","0","8","5","17","0"
"L87443","ONewLockManager.java","core/src/main/java/com/orientechnologies/common/concur/lock/ONewLockManager.java","L87432","37","0","316","0","22","6","327","0"
"L87444","OReadersWriterSpinLock.java","core/src/main/java/com/orientechnologies/common/concur/lock/OReadersWriterSpinLock.java","L87432","20","0","137","0","39","7","3122","0"
"L87445","OSharedLock.java","core/src/main/java/com/orientechnologies/common/concur/lock/OSharedLock.java","L87432","3","0","25","0","8","5","17","0"
"L87446","OSharedLockEntry.java","core/src/main/java/com/orientechnologies/common/concur/lock/OSharedLockEntry.java","L87432","1","0","13","0","8","5","17","0"
"L87447","OThreadCountersHashTable.java","core/src/main/java/com/orientechnologies/common/concur/lock/OThreadCountersHashTable.java","L87432","109","0","469","0","19","6","327","0"
"L88225","OCloseable.java","core/src/main/java/com/orientechnologies/common/concur/resource/OCloseable.java","L88224","1","0","4","0","8","5","17","0"
"L88226","ONotSharedResource.java","core/src/main/java/com/orientechnologies/common/concur/resource/ONotSharedResource.java","L88224","1","0","11","0","8","5","17","0"
"L88227","OPartitionedObjectPool.java","core/src/main/java/com/orientechnologies/common/concur/resource/OPartitionedObjectPool.java","L88224","27","0","174","1","7","3","3122","0"
"L88228","OPartitionedObjectPoolFactory.java","core/src/main/java/com/orientechnologies/common/concur/resource/OPartitionedObjectPoolFactory.java","L88224","9","0","95","1","7","3","3122","0"
"L88229","OReentrantResourcePool.java","core/src/main/java/com/orientechnologies/common/concur/resource/OReentrantResourcePool.java","L88224","14","0","83","0","8","5","17","0"
"L88230","OResourcePool.java","core/src/main/java/com/orientechnologies/common/concur/resource/OResourcePool.java","L88224","16","0","104","0","24","6","327","0"
"L88231","OResourcePoolListener.java","core/src/main/java/com/orientechnologies/common/concur/resource/OResourcePoolListener.java","L88224","1","0","5","0","8","5","17","0"
"L88232","OSharedContainer.java","core/src/main/java/com/orientechnologies/common/concur/resource/OSharedContainer.java","L88224","1","0","7","0","8","5","17","0"
"L88233","OSharedContainerImpl.java","core/src/main/java/com/orientechnologies/common/concur/resource/OSharedContainerImpl.java","L88224","5","0","32","0","8","5","17","0"
"L88234","OSharedResource.java","core/src/main/java/com/orientechnologies/common/concur/resource/OSharedResource.java","L88224","1","0","7","0","8","5","17","0"
"L88235","OSharedResourceAbstract.java","core/src/main/java/com/orientechnologies/common/concur/resource/OSharedResourceAbstract.java","L88224","1","0","18","0","8","5","17","0"
"L88236","OSharedResourceAdaptive.java","core/src/main/java/com/orientechnologies/common/concur/resource/OSharedResourceAdaptive.java","L88224","28","0","162","0","8","5","17","0"
"L88237","OSharedResourceAdaptiveExternal.java","core/src/main/java/com/orientechnologies/common/concur/resource/OSharedResourceAdaptiveExternal.java","L88224","1","0","28","0","8","5","17","0"
"L88238","OSharedResourceExternal.java","core/src/main/java/com/orientechnologies/common/concur/resource/OSharedResourceExternal.java","L88224","1","0","19","0","8","5","17","0"
"L88239","OSharedResourceExternalTimeout.java","core/src/main/java/com/orientechnologies/common/concur/resource/OSharedResourceExternalTimeout.java","L88224","1","0","23","0","8","5","17","0"
"L88240","OSharedResourceIterator.java","core/src/main/java/com/orientechnologies/common/concur/resource/OSharedResourceIterator.java","L88224","2","0","50","0","8","5","17","0"
"L88241","OSharedResourceTimeout.java","core/src/main/java/com/orientechnologies/common/concur/resource/OSharedResourceTimeout.java","L88224","15","0","83","0","10","5","17","0"
"L88652","ConsoleCommand.java","core/src/main/java/com/orientechnologies/common/console/annotation/ConsoleCommand.java","L88651","1","0","13","1","10","5","1345","0"
"L88653","ConsoleParameter.java","core/src/main/java/com/orientechnologies/common/console/annotation/ConsoleParameter.java","L88651","1","0","12","0","8","5","17","0"
"L90645","OBinarySerializer.java","core/src/main/java/com/orientechnologies/common/serialization/types/OBinarySerializer.java","L90644","1","0","21","0","18","7","3122","0"
"L90646","OBinaryTypeSerializer.java","core/src/main/java/com/orientechnologies/common/serialization/types/OBinaryTypeSerializer.java","L90644","1","0","85","0","18","7","3122","0"
"L90647","OBooleanSerializer.java","core/src/main/java/com/orientechnologies/common/serialization/types/OBooleanSerializer.java","L90644","6","0","90","0","18","7","3122","0"
"L90648","OByteSerializer.java","core/src/main/java/com/orientechnologies/common/serialization/types/OByteSerializer.java","L90644","1","0","85","0","18","7","3122","0"
"L90649","OCharSerializer.java","core/src/main/java/com/orientechnologies/common/serialization/types/OCharSerializer.java","L90644","1","0","89","0","18","7","3122","0"
"L90650","ODateSerializer.java","core/src/main/java/com/orientechnologies/common/serialization/types/ODateSerializer.java","L90644","1","0","95","0","18","7","3122","0"
"L90651","ODateTimeSerializer.java","core/src/main/java/com/orientechnologies/common/serialization/types/ODateTimeSerializer.java","L90644","1","0","79","0","18","7","3122","0"
"L90652","ODecimalSerializer.java","core/src/main/java/com/orientechnologies/common/serialization/types/ODecimalSerializer.java","L90644","1","0","91","0","12","7","3122","0"
"L90653","ODoubleSerializer.java","core/src/main/java/com/orientechnologies/common/serialization/types/ODoubleSerializer.java","L90644","1","0","85","0","18","7","3122","0"
"L90654","OFloatSerializer.java","core/src/main/java/com/orientechnologies/common/serialization/types/OFloatSerializer.java","L90644","1","0","84","0","18","7","3122","0"
"L90655","OIntegerSerializer.java","core/src/main/java/com/orientechnologies/common/serialization/types/OIntegerSerializer.java","L90644","1","0","95","0","18","7","3122","0"
"L90656","OLongSerializer.java","core/src/main/java/com/orientechnologies/common/serialization/types/OLongSerializer.java","L90644","1","0","100","0","18","7","3122","0"
"L90657","ONullSerializer.java","core/src/main/java/com/orientechnologies/common/serialization/types/ONullSerializer.java","L90644","1","0","58","0","18","7","3122","0"
"L90658","OSerializationHelper.java","core/src/main/java/com/orientechnologies/common/serialization/types/OSerializationHelper.java","L90644","2","0","31","0","14","6","327","0"
"L90659","OShortSerializer.java","core/src/main/java/com/orientechnologies/common/serialization/types/OShortSerializer.java","L90644","1","0","90","0","18","7","3122","0"
"L90660","OStringSerializer.java","core/src/main/java/com/orientechnologies/common/serialization/types/OStringSerializer.java","L90644","8","0","121","0","18","7","3122","0"
"L90661","OUUIDSerializer.java","core/src/main/java/com/orientechnologies/common/serialization/types/OUUIDSerializer.java","L90644","1","0","88","0","18","7","3122","0"
"L3814","OCommandExecutorFunction.java","core/src/main/java/com/orientechnologies/orient/core/command/script/OCommandExecutorFunction.java","L3813","8","0","79","0","61","11","1345","0"
"L3815","OCommandExecutorScript.java","core/src/main/java/com/orientechnologies/orient/core/command/script/OCommandExecutorScript.java","L3813","58","0","297","3","105","14","3122","0"
"L3816","OCommandExecutorUtility.java","core/src/main/java/com/orientechnologies/orient/core/command/script/OCommandExecutorUtility.java","L3813","7","0","34","1","18","9","327","0"
"L3817","OCommandFunction.java","core/src/main/java/com/orientechnologies/orient/core/command/script/OCommandFunction.java","L3813","1","0","18","0","11","5","327","0"
"L3818","OCommandScript.java","core/src/main/java/com/orientechnologies/orient/core/command/script/OCommandScript.java","L3813","4","0","58","1","32","9","1345","0"
"L3819","OCommandScriptException.java","core/src/main/java/com/orientechnologies/orient/core/command/script/OCommandScriptException.java","L3813","5","0","39","0","9","3","17","0"
"L3820","ODatabaseScriptManager.java","core/src/main/java/com/orientechnologies/orient/core/command/script/ODatabaseScriptManager.java","L3813","6","0","62","1","16","5","3122","0"
"L3821","OScriptDocumentDatabaseWrapper.java","core/src/main/java/com/orientechnologies/orient/core/command/script/OScriptDocumentDatabaseWrapper.java","L3813","11","0","319","0","67","12","1345","0"
"L3822","OScriptInjection.java","core/src/main/java/com/orientechnologies/orient/core/command/script/OScriptInjection.java","L3813","1","0","6","0","3","2","17","0"
"L3823","OScriptManager.java","core/src/main/java/com/orientechnologies/orient/core/command/script/OScriptManager.java","L3813","41","0","246","0","81","13","327","0"
"L3824","OScriptOrientWrapper.java","core/src/main/java/com/orientechnologies/orient/core/command/script/OScriptOrientWrapper.java","L3813","3","0","20","0","10","5","327","0"
"L4959","OTraverse.java","core/src/main/java/com/orientechnologies/orient/core/command/traverse/OTraverse.java","L4958","18","0","149","2","33","12","3122","0"
"L4960","OTraverseAbstractProcess.java","core/src/main/java/com/orientechnologies/orient/core/command/traverse/OTraverseAbstractProcess.java","L4958","1","0","13","2","14","7","3122","0"
"L4961","OTraverseContext.java","core/src/main/java/com/orientechnologies/orient/core/command/traverse/OTraverseContext.java","L4958","12","0","143","2","36","12","3122","0"
"L4962","OTraverseMultiValueProcess.java","core/src/main/java/com/orientechnologies/orient/core/command/traverse/OTraverseMultiValueProcess.java","L4958","4","0","36","2","17","8","3122","0"
"L4963","OTraversePath.java","core/src/main/java/com/orientechnologies/orient/core/command/traverse/OTraversePath.java","L4958","3","0","92","1","15","8","327","0"
"L4964","OTraverseRecordProcess.java","core/src/main/java/com/orientechnologies/orient/core/command/traverse/OTraverseRecordProcess.java","L4958","26","0","116","4","38","12","3122","0"
"L4965","OTraverseRecordSetProcess.java","core/src/main/java/com/orientechnologies/orient/core/command/traverse/OTraverseRecordSetProcess.java","L4958","8","0","48","2","17","8","3122","0"
"L5464","OAbstractCompression.java","core/src/main/java/com/orientechnologies/orient/core/compression/impl/OAbstractCompression.java","L5463","1","0","12","0","7","5","17","0"
