@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L87447","109","0","469","0","19","6","327","false"
"L88225","1","0","4","0","8","5","17","false"
"L88226","1","0","11","0","8","5","17","false"
"L88227","27","0","174","1","7","3","3122","false"
"L88228","9","0","95","1","7","3","3122","false"
"L88229","14","0","83","0","8","5","17","false"
"L88230","16","0","104","0","24","6","327","false"
"L88231","1","0","5","0","8","5","17","false"
"L88232","1","0","7","0","8","5","17","false"
"L88233","5","0","32","0","8","5","17","false"
"L88234","1","0","7","0","8","5","17","false"
"L88235","1","0","18","0","8","5","17","false"
"L88236","28","0","162","0","8","5","17","false"
"L88237","1","0","28","0","8","5","17","false"
"L88238","1","0","19","0","8","5","17","false"
"L88239","1","0","23","0","8","5","17","false"
"L88240","2","0","50","0","8","5","17","false"
"L88241","15","0","83","0","10","5","17","false"
"L88652","1","0","13","1","10","5","1345","false"
"L88653","1","0","12","0","8","5","17","false"
"L90645","1","0","21","0","18","7","3122","false"
"L90646","1","0","85","0","18","7","3122","false"
"L90647","6","0","90","0","18","7","3122","false"
"L90648","1","0","85","0","18","7","3122","false"
"L90649","1","0","89","0","18","7","3122","false"
"L90650","1","0","95","0","18","7","3122","false"
"L90651","1","0","79","0","18","7","3122","false"
"L90652","1","0","91","0","12","7","3122","false"
"L90653","1","0","85","0","18","7","3122","false"
"L90654","1","0","84","0","18","7","3122","false"
"L90655","1","0","95","0","18","7","3122","false"
"L90656","1","0","100","0","18","7","3122","false"
"L90657","1","0","58","0","18","7","3122","false"
"L90658","2","0","31","0","14","6","327","false"
"L90659","1","0","90","0","18","7","3122","false"
"L90660","8","0","121","0","18","7","3122","false"
"L90661","1","0","88","0","18","7","3122","false"
"L3814","8","0","79","0","61","11","1345","false"
"L3815","58","0","297","3","105","14","3122","false"
"L3816","7","0","34","1","18","9","327","false"
"L3817","1","0","18","0","11","5","327","false"
"L3818","4","0","58","1","32","9","1345","false"
"L3819","5","0","39","0","9","3","17","false"
"L3820","6","0","62","1","16","5","3122","false"
"L3821","11","0","319","0","67","12","1345","false"
"L3822","1","0","6","0","3","2","17","false"
"L3823","41","0","246","0","81","13","327","false"
"L3824","3","0","20","0","10","5","327","false"
"L4959","18","0","149","2","33","12","3122","false"
"L4960","1","0","13","2","14","7","3122","false"
"L4961","12","0","143","2","36","12","3122","false"
"L4962","4","0","36","2","17","8","3122","false"
"L4963","3","0","92","1","15","8","327","false"
"L4964","26","0","116","4","38","12","3122","false"
"L4965","8","0","48","2","17","8","3122","false"
"L5464","1","0","12","0","7","5","17","false"
"L5465","6","0","63","0","14","8","17","false"
"L5466","1","0","13","0","7","5","17","false"
"L5467","1","0","13","0","7","5","17","false"
"L5468","5","0","25","0","18","8","17","false"
"L5469","3","0","34","0","17","8","17","false"
"L5470","6","0","67","0","7","5","17","false"
"L5471","18","0","119","2","27","9","17","false"
"L6815","1","0","44","1","32","8","1345","false"
"L6816","1","0","25","0","28","6","327","false"
"L6817","405","0","2037","9","274","19","3122","false"
"L6818","10","0","88","3","64","13","327","false"
"L6819","1","0","8","0","8","6","17","false"
"L6820","31","0","91","0","14","8","327","false"
"L8651","1","0","21","0","17","2","17","false"
"L8652","1","0","6","0","1","0","0","false"
"L8653","1","0","6","0","1","0","0","false"
"L8654","1","0","6","0","1","0","0","false"
"L8655","1","0","8","0","12","8","327","false"
"L10582","1","0","5","0","3","2","3122","false"
"L10583","61","0","269","0","67","10","1345","false"
"L10584","1","0","14","0","15","8","327","false"
"L10585","1","0","4","0","4","2","17","false"
"L10586","1","0","13","0","27","11","3122","false"
"L10587","1","0","4","0","7","5","17","false"
"L10588","13","0","77","0","26","6","17","false"
"L10589","19","0","87","0","12","6","17","false"
"L10590","16","0","70","0","8","4","17","false"
"L10591","1","0","4","0","4","2","17","false"
"L10592","1","0","13","0","4","2","17","false"
"L10593","4","0","86","1","21","11","1345","false"
"L10594","1","0","14","0","11","5","3122","false"
"L10595","1","0","12","0","26","8","327","false"
"L10596","81","0","395","2","67","8","327","false"
"L10597","1","0","4","0","3","1","3122","false"
"L10598","33","0","170","0","45","7","3122","false"
"L10599","1","0","8","0","20","8","3122","false"
"L10600","24","0","174","1","88","10","1345","false"
"L10601","9","0","34","0","5","2","3122","false"
"L10602","17","0","106","0","30","5","327","false"
"L10603","2","0","22","0","5","2","3122","false"
"L10604","1","0","12","0","23","6","327","false"
"L10605","27","0","154","0","30","8","327","false"
"L10606","34","0","192","0","42","10","327","false"
"L10607","33","0","163","1","39","8","327","false"
"L10608","1","0","8","0","4","1","3122","false"
"L10609","28","0","163","1","41","8","327","false"
"L13997","139","0","696","4","94","11","3122","false"
"L13998","103","0","443","5","155","13","3122","false"
"L13999","1","0","16","0","2","1","3122","false"
"L14000","28","0","203","0","59","11","327","false"
"L14001","220","0","1147","9","238","14","3122","false"
"L14002","1","0","16","0","2","1","3122","false"
"L15346","2","0","41","0","12","6","3122","false"
"L15383","2","0","26","0","9","4","3122","false"
"L15813","50","0","209","1","56","11","327","false"
"L15814","6","0","66","1","15","6","327","false"
"L16412","1","0","39","0","11","6","561","false"
"L16413","3","0","47","1","24","11","327","false"
"L16965","34","0","328","3","31","7","3122","false"
"L16966","1","0","113","7","48","10","3122","false"
"L16967","21","0","361","9","85","12","3122","false"
"L20957","24","0","104","0","6","5","8","false"
"L20958","337","0","1835","1","10","5","327","false"
"L20959","32","0","196","1","8","7","561","false"
"L20960","19","0","172","0","7","5","3122","false"
"L20961","4","0","29","0","6","5","8","false"
"L20962","1","0","47","0","6","5","8","false"
"L20963","13","0","159","0","6","5","8","false"
"L25946","5","0","78","0","31","8","327","false"
"L25947","1","0","29","0","23","9","327","false"
"L28316","1","0","4","0","1","0","0","false"
"L28317","1","0","4","0","1","0","0","false"
"L28806","4","0","67","1","19","7","3122","false"
"L28807","1","0","25","0","4","3","327","false"
"L28808","7","0","104","1","28","6","327","false"
"L28809","1","0","10","0","3","0","0","false"
"L28810","4","0","65","0","28","8","327","false"
"L28811","1","0","33","0","5","4","327","false"
"L28812","1","0","30","0","19","6","1345","false"
"L28813","12","0","22","0","7","4","327","false"
"L29132","1","0","111","6","145","12","327","false"
"L29133","1","0","355","4","64","10","327","false"
"L29134","270","0","1942","21","306","22","82","false"
"L29135","1","0","6","0","4","3","3122","false"
"L29136","1","0","38","0","5","3","3122","false"
"L29137","59","0","584","2","45","9","327","false"
"L29138","65","0","353","0","32","9","3122","false"
"L29139","13","0","216","0","30","6","3122","false"
"L29140","1","0","56","0","92","9","1345","false"
"L29141","1","0","202","1","33","10","3122","false"
"L29142","134","0","1042","6","124","13","1345","false"
"L29143","1","0","47","1","74","9","3122","false"
"L29144","6","0","185","2","59","8","3122","false"
"L29145","166","0","961","8","239","17","3122","false"
"L29146","223","0","533","1","110","11","327","false"
"L31995","1","0","16","0","12","3","3122","false"
"L31996","13","0","117","0","19","6","327","false"
"L31997","21","0","149","0","19","6","327","false"
"L31998","21","0","89","1","44","7","3122","false"
"L31999","53","0","282","1","83","10","327","false"
"L32000","23","0","162","0","20","6","327","false"
"L32001","1","0","44","1","61","9","327","false"
"L32002","1","0","105","1","41","9","3122","false"
"L32003","2","0","107","1","46","9","327","false"
"L32004","1","0","33","0","19","6","327","false"
"L32005","78","0","378","9","149","14","3122","false"
"L32006","5","0","51","0","15","5","1345","false"
"L32007","1","0","33","0","18","6","327","false"
"L32008","1","0","16","0","6","4","327","false"
"L32009","33","0","200","1","67","6","327","false"
"L32010","6","0","41","0","22","5","1345","false"
"L33625","54","0","263","0","28","6","3122","false"
"L33626","25","0","119","0","15","6","33","false"
"L33627","19","0","87","1","16","4","3122","false"
"L33628","4","0","29","0","5","4","16","false"
"L33629","9","0","74","0","16","8","1345","false"
"L33630","16","0","66","0","17","5","16","false"
"L33631","14","0","60","0","14","6","33","false"
"L33632","1","0","11","0","8","4","16","false"
"L33633","17","0","119","0","20","5","3122","false"
"L33634","4","0","32","0","8","4","3122","false"
"L33635","5","0","53","0","9","4","16","false"
"L34179","8","0","136","0","7","5","3122","false"
"L34180","1","0","6","0","4","4","3122","false"
"L34181","5","0","46","0","4","4","3122","false"
"L34388","13","0","53","0","4","3","3122","false"
"L34389","484","0","1725","10","495","19","3122","false"
"L34390","15","0","72","2","27","7","3122","false"
"L34391","1","0","45","0","7","3","327","false"
"L34392","370","0","1103","4","159","14","82","false"
"L34393","1","0","41","0","25","4","1345","false"
"L34394","8","0","116","0","43","7","327","false"
"L34395","2","0","28","0","19","3","1345","false"
"L34396","8","0","100","0","29","5","327","false"
"L34397","9","0","30","0","7","3","327","false"
"L37405","51","0","222","0","33","6","3122","false"
"L37406","78","0","376","2","90","10","327","false"
"L37407","2","0","28","0","19","5","327","false"
"L37408","263","0","740","5","168","14","3122","false"
"L40027","25","0","71","1","16","6","3122","false"
"L40028","16","0","72","2","116","7","3122","false"
"L40029","104","0","317","0","97","8","3122","false"
"L40030","1","0","6","0","14","5","1","false"
"L40031","31","0","134","1","127","15","3122","false"
"L40032","14","0","91","2","63","11","327","false"
"L40033","1","0","17","0","8","0","0","false"
"L40034","1","0","17","0","8","0","0","false"
"L40035","5","0","33","0","27","6","1","false"
"L40036","4","0","27","0","10","4","1","false"
"L40037","2","0","25","0","16","6","3122","false"
"L40038","73","0","302","1","61","11","3122","false"
"L40039","40","0","189","2","28","11","82","false"
"L40681","4","0","81","1","67","13","3122","false"
"L40682","1","0","18","1","29","7","2","false"
"L40683","1","0","63","0","19","3","3122","false"
"L40684","4","0","25","1","4","2","2","false"
"L40685","1","0","8","0","3","0","0","false"
"L40686","36","0","142","1","80","13","3122","false"
"L42132","4","0","95","1","37","10","1345","false"
"L42133","1","0","11","1","15","8","2","false"
"L42134","2","0","23","1","5","4","2","false"
"L42135","1","0","8","0","3","3","16","false"
"L42136","4","0","23","1","5","4","2","false"
"L42688","42","0","149","1","7","5","561","false"
"L45166","1","0","45","0","1","0","0","false"
"L45167","1","0","8","0","8","1","3122","false"
"L45168","11","0","119","3","50","6","3122","false"
"L45169","20","0","73","0","17","2","3122","false"
"L45170","23","0","134","4","43","6","3122","false"
"L45171","34","0","137","4","55","6","3122","false"
"L45172","24","0","88","0","15","1","561","false"
"L45173","17","0","91","3","44","6","3122","false"
"L45174","13","0","104","3","50","8","3122","false"
"L45175","29","0","131","3","49","7","561","false"
"L45176","23","0","91","0","26","3","3122","false"
"L45177","3","0","25","0","14","0","0","false"
"L45178","40","0","140","4","71","7","561","false"
"L45179","1","0","5","0","1","0","0","false"
"L45180","56","0","212","3","57","9","3122","false"
"L45181","6","0","48","0","14","3","3122","false"
"L45182","16","0","89","0","20","3","3122","false"
"L45183","3","0","31","0","11","0","0","false"
"L45184","16","0","77","3","46","6","3122","false"
"L45185","16","0","76","3","49","8","3122","false"
"L45186","2","0","37","0","13","2","3122","false"
"L45187","16","0","76","3","46","6","3122","false"
"L45188","16","0","76","3","49","7","3122","false"
"L45189","13","0","65","0","15","0","0","false"
"L45190","1","0","27","0","12","0","0","false"
"L45191","16","0","65","0","17","2","3122","false"
"L45192","38","0","149","0","34","4","2","false"
"L45193","1","0","20","0","21","3","3122","false"
"L46459","1","0","18","0","3","3","1345","false"
"L46460","70","0","479","0","5","3","1345","false"
"L46461","6","0","81","0","2","1","327","false"
"L46462","1","0","12","0","2","1","327","false"
"L46463","1","0","13","0","3","1","327","false"
"L46464","10","0","56","0","5","1","327","false"
"L46465","3","0","35","0","4","1","327","false"
"L46466","9","0","46","0","7","2","1345","false"
"L46467","6","0","46","0","5","1","327","false"
"L46468","10","0","49","0","7","2","1345","false"
"L46469","5","0","36","0","4","1","327","false"
"L46470","11","0","54","0","7","2","1345","false"
"L46471","4","0","29","0","4","1","327","false"
"L46472","1","0","48","0","5","1","327","false"
"L46473","1","0","4","0","2","1","327","false"
"L46474","1","0","29","0","5","1","327","false"
"L46475","1","0","40","0","5","1","327","false"
"L46476","1","0","20","0","3","1","327","false"
"L46477","5","0","38","0","4","1","327","false"
"L46478","1","0","13","0","3","1","327","false"
"L46479","1","0","13","0","2","1","327","false"
"L46480","5","0","57","0","6","1","327","false"
"L46481","5","0","44","0","6","1","327","false"
"L46482","1","0","19","0","4","1","327","false"
"L46483","2","0","30","0","5","1","327","false"
"L46484","4","0","44","0","5","1","327","false"
"L46485","1","0","13","0","2","1","327","false"
"L46486","32","0","137","1","8","4","3122","false"
"L46487","1","0","13","0","2","1","327","false"
"L46488","11","0","49","0","6","3","1345","false"
"L46489","1","0","13","0","2","1","327","false"
"L46490","1","0","13","0","2","1","327","false"
"L46491","1","0","10","0","6","3","1345","false"
"L46492","1","0","13","0","3","3","1345","false"
"L46493","1","0","13","0","3","3","1345","false"
"L46494","47","0","162","1","12","6","3122","false"
"L46495","1","0","13","0","3","3","1345","false"
"L46496","1","0","13","0","3","3","1345","false"
"L46497","1","0","13","0","3","3","1345","false"
"L46498","7","0","44","0","11","3","3122","false"
"L46499","6","0","40","0","11","3","3122","false"
"L46500","1","0","20","0","4","1","327","false"
"L46501","14","0","63","0","11","4","1345","false"
"L46502","3","0","29","0","3","1","327","false"
"L46503","5","0","42","0","4","1","327","false"
"L46504","1","0","13","0","3","1","327","false"
"L46505","3","0","34","0","4","1","327","false"
"L46506","2","0","24","0","5","1","327","false"
"L46507","21","0","94","0","15","5","1345","false"
"L46508","6","0","57","0","5","1","327","false"
"L46509","1","0","19","0","4","1","327","false"
"L46510","3","0","26","0","3","1","327","false"
"L46511","1","0","20","0","4","1","327","false"
"L46512","1","0","27","0","8","3","1345","false"
"L46513","12","0","71","0","8","2","1345","false"
"L46514","5","0","38","0","3","1","327","false"
"L46515","13","0","75","0","4","1","327","false"
"L46516","1","0","16","0","3","1","327","false"
"L46517","10","0","64","0","6","2","1345","false"
"L46518","25","0","110","0","4","2","1345","false"
"L46519","1","0","17","0","3","2","1345","false"
"L46520","10","0","55","0","5","2","1345","false"
"L46521","3","0","36","0","6","1","327","false"
"L46522","1","0","20","1","6","2","3122","false"
"L46523","1","0","26","0","5","1","327","false"
"L46524","1","0","22","0","4","1","327","false"
"L46525","1","0","26","0","5","1","327","false"
"L46526","1","0","32","0","6","1","327","false"
"L46527","4","0","36","0","5","3","1345","false"
"L46528","3","0","27","0","6","4","1345","false"
"L46529","1","0","19","0","4","1","327","false"
"L46530","4","0","35","0","7","3","1345","false"
"L46531","5","0","38","0","11","5","3122","false"
"L46532","6","0","35","0","4","1","327","false"
"L46533","1","0","19","0","4","1","327","false"
"L46534","7","0","40","0","7","3","3122","false"
"L46535","1","0","19","0","4","1","327","false"
"L46536","1","0","20","0","3","3","1345","false"
"L46537","1","0","23","0","4","1","327","false"
"L46538","10","0","65","0","6","1","327","false"
"L46539","1","0","17","0","3","1","327","false"
"L46540","5","0","41","0","4","1","327","false"
"L46541","13","0","61","0","4","1","327","false"
"L46542","1","0","13","0","4","1","327","false"
"L46543","3","0","29","0","7","3","1345","false"
"L46544","1","0","19","0","4","1","327","false"
"L46545","1","0","19","0","4","1","327","false"
"L46546","3","0","42","0","6","1","327","false"
"L46547","12","0","71","0","9","2","1345","false"
"L46548","1","0","15","0","3","1","327","false"
"L46549","10","0","56","0","5","1","327","false"
"L46550","5","0","37","0","6","3","1345","false"
"L46551","6","0","52","1","3","1","327","false"
"L46552","1","0","13","0","2","1","327","false"
"L46553","2","0","28","0","6","2","1345","false"
"L46554","5","0","37","0","5","1","327","false"
"L46555","1","0","13","0","2","1","327","false"
"L46556","2","0","26","0","9","4","1345","false"
"L46557","6","0","44","0","5","1","327","false"
"L46558","6","0","61","0","6","1","327","false"
"L46559","1","0","17","0","3","1","327","false"
"L46560","1","0","13","0","2","1","327","false"
"L46561","1","0","22","0","4","1","327","false"
"L46562","3760","0","11373","4","69","7","1345","false"
"L46563","1","0","309","0","22","5","82","false"
"L46564","1614","0","3590","1","29","5","82","false"
"L46565","1","0","226","0","20","4","3122","false"
"L46566","1","0","114","0","19","5","3122","false"
"L46567","28","0","207","1","18","3","3122","false"
"L46568","1","0","9","0","4","1","327","false"
"L46569","7","0","40","0","7","3","3122","false"
"L46570","1","0","26","0","5","1","327","false"
"L46571","4","0","26","0","5","2","1345","false"
"L46572","1","0","13","0","2","1","327","false"
"L46573","3","0","30","0","4","1","327","false"
"L46574","15","0","79","1","13","3","3122","false"
"L46575","3","0","26","0","3","3","3122","false"
"L46576","1","0","26","0","5","3","1345","false"
"L46577","1","0","26","0","5","3","1345","false"
"L46578","7","0","52","1","6","3","327","false"
"L46579","1","0","13","0","2","1","327","false"
"L46580","23","0","111","0","5","3","1345","false"
"L46581","1","0","30","0","5","3","1345","false"
"L46582","3","0","30","0","5","3","1345","false"
"L46583","19","0","87","1","11","4","3122","false"
"L46584","1","0","13","0","2","1","327","false"
"L46585","1","0","13","0","2","1","327","false"
"L46586","4","0","33","0","6","1","327","false"
"L46587","21","0","110","0","2","1","327","false"
"L46588","34","0","352","0","2","1","327","false"
"L46589","9","0","72","0","2","1","327","false"
"L46590","1","0","40","0","2","1","327","false"
"L46591","14","0","73","0","2","1","327","false"
"L52822","1","0","13","0","4","4","3122","false"
"L52823","1","0","6","0","4","4","3122","false"
"L52824","7","0","185","0","4","4","3122","false"
"L52825","1","0","21","0","4","4","3122","false"
"L52826","13","0","204","0","18","6","3122","false"
"L52827","1","0","39","0","35","7","1345","false"
"L52828","8","0","202","0","7","4","3122","false"
"L52829","22","0","132","1","60","7","1345","false"
"L52830","12","0","110","1","46","10","3122","false"
"L53522","3","0","28","0","10","5","82","false"
"L53523","1","0","44","0","6","3","3122","false"
"L53524","1","0","4","0","5","3","3122","false"
"L53596","67","0","571","4","70","11","3122","false"
"L53597","1","0","54","1","60","4","3122","false"
"L53598","14","0","335","1","47","7","3122","false"
"L53599","2","0","23","0","8","2","561","false"
"L59863","127","0","436","0","49","3","3122","false"
"L59864","129","0","655","3","118","9","3122","false"
"L59865","72","0","437","1","73","9","3122","false"
"L59866","11","0","191","0","43","8","3122","false"
"L59867","1","0","20","0","27","5","561","false"
"L3827","7","0","37","0","5","4","17","false"
"L3828","7","0","37","0","7","2","17","false"
"L3829","8","0","47","0","6","2","17","false"
"L3830","1","0","6","0","4","2","17","false"
"L3831","1","0","11","0","3","2","17","false"
"L11959","34","0","287","1","61","10","327","false"
"L11960","1","0","25","0","20","8","3122","false"
"L17506","1","0","33","0","21","7","3122","false"
"L17507","1","0","58","0","21","7","3122","false"
"L17508","1","0","4","0","4","4","33","false"
"L17509","15","0","262","0","79","11","3122","false"
"L17510","13","0","80","4","74","11","3122","false"
"L17511","3","0","93","0","23","7","3122","false"
"L17512","3","0","90","0","2","2","3122","false"
"L17513","49","0","511","1","63","8","3122","false"
"L17514","183","0","1447","4","162","14","3122","false"
"L17515","211","0","1687","1","9","3","3122","false"
"L17516","1","0","19","0","5","5","3122","false"
"L17517","3","0","32","0","24","7","3122","false"
"L25950","5","0","41","0","32","7","3122","false"
"L25951","191","0","1556","14","159","12","3122","false"
"L25952","46","0","331","3","58","9","3122","false"
"L25953","1","0","15","0","5","3","3122","false"
"L25954","10","0","46","0","11","5","327","false"
"L25955","2","0","56","1","33","8","3122","false"
"L27169","1","0","21","2","33","9","3122","false"
"L27170","6","0","41","1","16","7","327","false"
"L27171","1","0","31","2","87","10","3122","false"
"L27172","36","0","324","1","42","8","3122","false"
"L27173","110","0","1134","2","57","11","3122","false"
"L27174","1","0","44","1","24","8","3122","false"
"L29156","7","0","35","0","8","5","327","false"
"L29157","4","0","33","0","11","5","327","false"
"L29158","1","0","7","0","7","4","327","false"
"L29159","1","0","13","0","7","4","327","false"
"L29160","2","0","18","0","10","5","327","false"
"L31805","1","0","11","0","5","4","3122","false"
"L31806","1","0","12","0","5","4","3122","false"
"L31807","1","0","12","0","5","4","3122","false"
"L31808","1","0","11","0","5","4","3122","false"
"L32015","1","0","5","0","4","4","327","false"
"L32016","1","0","9","0","5","4","327","false"
"L32017","1","0","21","0","5","4","327","false"
"L32018","1","0","6","0","4","4","327","false"
"L37414","10","0","95","1","50","9","3122","false"
"L37907","1","0","5","0","4","0","0","false"
"L37908","12","0","56","0","3","1","3122","false"
"L37909","1","0","14","0","1","0","0","false"
"L37910","1","0","30","0","1","0","0","false"
"L38477","1","0","8","0","18","5","3122","false"
"L38478","5","0","53","0","10","2","3122","false"
"L38479","2","0","38","0","13","2","561","false"
"L38480","3","0","52","0","26","6","3122","false"
"L38481","1","0","27","0","18","3","3122","false"
"L39375","1","0","7","0","7","0","0","false"
"L39376","11","0","45","0","18","4","561","false"
"L39377","5","0","39","0","17","5","1345","false"
"L39378","5","0","32","0","5","0","0","false"
"L39379","13","0","72","0","17","4","1345","false"
"L39380","12","0","32","0","17","2","3122","false"
"L39381","4","0","35","0","4","2","561","false"
"L39382","1","0","16","0","3","0","0","false"
"L39383","3","0","108","0","33","5","3122","false"
"L39384","2","0","22","0","6","0","0","false"
"L39385","1","0","16","0","6","0","0","false"
"L39386","7","0","151","1","25","6","3122","false"
"L39387","5","0","30","0","10","1","561","false"
"L39388","3","0","81","0","27","7","3122","false"
"L39389","16","0","224","1","36","6","3122","false"
"L39390","1","0","16","0","5","0","0","false"
"L39886","1","0","6","0","3","0","0","false"
"L39887","1","0","6","0","6","0","0","false"
"L39888","6","0","34","0","6","0","0","false"
"L39889","9","0","46","0","15","0","0","false"
"L39890","12","0","61","0","6","4","3122","false"
"L40689","13","0","93","1","34","10","3122","false"
"L40690","3","0","29","1","24","8","2","false"
"L40691","13","0","75","1","13","5","2","false"
"L40692","4","0","38","1","21","7","3122","false"
"L40693","14","0","70","1","30","8","2","false"
"L40694","3","0","37","1","21","7","3122","false"
"L40695","10","0","68","3","35","9","3122","false"
"L40696","12","0","73","1","21","8","2","false"
"L40697","1","0","20","1","8","4","2","false"
"L40698","10","0","70","2","26","8","113","false"
"L40699","1","0","13","0","3","2","3122","false"
"L40700","22","0","93","0","15","6","3122","false"
"L40701","1","0","13","0","3","2","3122","false"
"L40702","10","0","55","1","12","5","2","false"
"L40703","9","0","41","1","5","4","2","false"
"L41075","5","0","33","1","6","4","2","false"
"L41076","5","0","33","1","6","4","2","false"
"L41077","2","0","19","1","5","4","2","false"
"L41078","6","0","34","1","5","4","2","false"
"L41079","1","0","1","0","4","3","1","false"
"L41130","10","0","48","1","27","7","3122","false"
"L41159","16","0","88","2","44","11","327","false"
"L41160","9","0","57","0","3","2","3122","false"
"L41161","6","0","40","1","25","9","3122","false"
"L41162","19","0","42","1","14","4","2","false"
"L41163","20","0","67","1","39","9","2","false"
"L41164","20","0","67","1","39","9","2","false"
"L41165","11","0","61","1","33","8","2","false"
"L41323","3","0","23","1","16","7","3122","false"
"L41324","3","0","41","1","27","7","2","false"
"L41325","7","0","52","1","28","7","1345","false"
"L41326","2","0","27","1","21","10","2","false"
"L41327","7","0","45","1","22","11","561","false"
"L41328","2","0","20","1","23","7","2","false"
"L41329","6","0","33","1","17","8","561","false"
"L41330","3","0","24","1","16","7","2","false"
"L41331","4","0","40","1","33","7","2","false"
"L41332","1","0","25","0","2","2","561","false"
"L41333","12","0","66","2","14","5","3122","false"
"L41334","11","0","58","2","7","4","3122","false"
"L41753","1","0","12","0","5","3","1345","false"
"L41754","11","0","78","0","5","3","1345","false"
"L41755","14","0","105","0","5","3","1345","false"
"L41756","2","0","27","0","3","3","1345","false"
"L41757","9","0","89","0","3","3","1345","false"
"L41971","4","0","37","0","6","4","3122","false"
"L41972","2","0","20","2","16","6","3122","false"
"L41973","5","0","27","1","5","4","2","false"
"L41974","4","0","29","0","7","4","3122","false"
"L41975","5","0","32","0","2","1","3122","false"
"L41976","2","0","21","1","5","4","2","false"
"L41977","4","0","21","1","5","4","2","false"
"L41978","4","0","23","1","5","4","2","false"
"L41979","4","0","25","1","5","4","2","false"
"L41980","6","0","30","1","8","4","3122","false"
"L41981","1","0","1","0","4","3","1","false"
"L42139","9","0","79","1","10","7","2","false"
"L42140","6","0","27","1","15","8","2","false"
"L42141","3","0","18","1","15","8","2","false"
"L42142","3","0","18","1","15","8","2","false"
"L42143","8","0","42","1","17","5","3122","false"
"L42144","4","0","21","1","17","8","2","false"
"L42145","7","0","41","1","14","6","2","false"
"L42146","8","0","42","1","21","6","2","false"
"L42147","2","0","14","1","15","8","2","false"
"L42148","13","0","56","2","27","9","3122","false"
"L42149","6","0","34","1","31","9","3122","false"
"L42150","3","0","33","1","18","8","2","false"
"L42151","3","0","16","1","19","8","113","false"
"L42152","2","0","16","1","15","5","2","false"
"L42153","3","0","15","1","15","8","2","false"
"L42154","2","0","16","0","2","1","3122","false"
"L42155","6","0","27","1","20","10","1345","false"
"L42156","3","0","15","1","15","8","2","false"
"L42157","7","0","34","1","24","6","3122","false"
"L42158","7","0","30","1","18","6","3122","false"
"L42159","3","0","25","1","22","9","561","false"
"L42160","2","0","14","1","14","7","2","false"
"L42161","2","0","14","1","14","7","2","false"
"L42162","2","0","14","1","14","7","2","false"
"L42163","3","0","21","1","16","5","561","false"
"L42164","3","0","15","1","14","7","2","false"
"L45196","19","0","67","0","9","0","0","false"
"L45197","18","0","67","0","10","0","0","false"
"L45198","19","0","66","0","10","0","0","false"
"L45199","19","0","67","0","10","0","0","false"
"L45200","21","0","72","0","10","0","0","false"
"L54106","291","0","1842","6","183","12","1345","false"
"L54107","1","0","5","0","13","5","3122","false"
"L54108","1","0","4","0","5","2","327","false"
"L54109","1","0","9","0","3","2","327","false"
"L54110","1","0","4","0","3","2","327","false"
"L54111","6","0","87","2","41","8","1345","false"
"L54112","11","0","87","1","58","8","1345","false"
"L54113","3","0","27","0","3","0","0","false"
"L58488","22","0","434","0","56","8","1345","false"
"L58489","6","0","72","0","42","7","3122","false"
"L60674","1","0","5","0","5","3","420","false"
"L60675","1","0","29","0","8","4","420","false"
"L60676","26","0","217","1","49","6","1345","false"
"L60677","65","0","496","0","20","2","3122","false"
"L60678","14","0","159","1","38","4","3122","false"
"L60679","1","0","22","0","8","1","3122","false"
"L60680","23","0","184","1","41","6","1345","false"
"L60681","27","0","162","0","13","3","561","false"
"L60682","52","0","264","1","62","10","3122","false"
"L11963","53","0","379","1","64","10","1345","false"
"L12289","6","0","40","1","22","9","327","false"
"L12290","12","0","175","4","34","9","3122","false"
"L12291","15","0","165","1","30","10","3122","false"
"L12292","7","0","61","0","15","7","1345","false"
"L12293","1","0","18","0","13","7","3122","false"
"L12294","9","0","126","0","16","8","327","false"
"L12295","3","0","56","1","26","9","327","false"
"L12296","3","0","75","0","31","10","3122","false"
"L12297","117","0","807","2","60","10","1345","false"
"L17526","45","0","279","0","21","7","1345","false"
"L17527","45","0","209","0","5","4","3122","false"
"L17528","5","0","27","0","24","6","3122","false"
"L17529","1","0","14","0","38","9","327","false"
"L17530","94","0","759","0","62","8","1345","false"
"L17531","1","0","7","0","11","6","327","false"
"L17532","12","0","80","0","19","7","3122","false"
"L17533","9","0","82","0","24","7","1345","false"
"L17534","10","0","38","0","4","4","16","false"
"L17535","1","0","21","0","6","3","3122","false"
"L17536","182","0","1165","8","146","14","1345","false"
"L17537","1","0","41","0","10","6","327","false"
"L17538","1","0","10","0","8","3","1345","false"
"L37417","2","0","92","0","41","8","3122","false"
"L38484","3","0","38","0","8","2","3122","false"
"L38485","1","0","7","0","12","3","3122","false"
"L38486","8","0","72","0","42","7","3122","false"
"L38487","143","0","695","4","103","8","3122","false"
"L38488","3","0","46","0","2","2","3122","false"
